=== RELEASE STATISTICS SUMMARY ===
Total Releases,60
Date Range,2024-09-26 to 2025-06-02
Generated At,2025-06-08T07:44:03.092Z

=== REPOSITORY STATISTICS ===
repo_name,total_releases,first_release_date,last_release_date,avg_days_between_releases,most_active_month
seed-design,30,2025-05-30,2025-06-02,0,2025년 5월
stackflow,30,2024-09-26,2025-05-29,8,2025년 1월

=== YEARLY STATISTICS ===
year,total_releases,stackflow_releases,seed_design_releases,release_percentage
2024,10,10,0,16.67%
2025,50,20,30,83.33%

=== TOP WEEKLY STATISTICS ===
year,week,repo_name,release_count,week_total
2025,22,seed-design,20,22
2025,22,stackflow,2,22
2025,23,seed-design,10,10
2025,04,stackflow,5,5
2024,51,stackflow,4,4
2025,20,stackflow,3,3
2025,07,stackflow,3,3
2024,39,stackflow,3,3
2025,15,stackflow,2,2
2025,13,stackflow,2,2

=== DETAILED RELEASE INFORMATION ===
repo_name,tag,published_date,published_year,published_month,published_week,published_day_of_week,days_since_last_release,repo_cumulative_count
stackflow,@stackflow/plugin-history-sync@1.7.0,2024-09-26,2024,09,2024-W39,목요일,,1
stackflow,@stackflow/react@1.4.0,2024-09-26,2024,09,2024-W39,목요일,0,2
stackflow,@stackflow/plugin-preload@1.4.3,2024-09-26,2024,09,2024-W39,목요일,0,3
stackflow,@stackflow/react@1.4.1,2024-10-23,2024,10,2024-W43,수요일,26,4
stackflow,@stackflow/link@1.6.0,2024-11-08,2024,11,2024-W45,금요일,15,5
stackflow,@stackflow/plugin-basic-ui@1.10.1,2024-11-19,2024,11,2024-W47,화요일,11,6
stackflow,@stackflow/plugin-basic-ui@1.11.0,2024-12-18,2024,12,2024-W51,수요일,28,7
stackflow,@stackflow/react-ui-core@1.2.0,2024-12-18,2024,12,2024-W51,수요일,0,8
stackflow,@stackflow/react-ui-core@1.2.1,2024-12-18,2024,12,2024-W51,수요일,0,9
stackflow,@stackflow/plugin-basic-ui@1.11.1,2024-12-18,2024,12,2024-W51,수요일,0,10
stackflow,@stackflow/config@1.2.1,2025-01-22,2025,01,2025-W04,수요일,34,11
stackflow,@stackflow/core@1.1.1,2025-01-22,2025,01,2025-W04,수요일,0,12
stackflow,@stackflow/link@1.6.1,2025-01-22,2025,01,2025-W04,수요일,0,13
stackflow,@stackflow/react@1.4.2,2025-01-22,2025,01,2025-W04,수요일,0,14
stackflow,@stackflow/plugin-history-sync@1.7.1,2025-01-22,2025,01,2025-W04,수요일,0,15
stackflow,@stackflow/core@1.2.0,2025-02-14,2025,02,2025-W07,금요일,22,16
stackflow,@stackflow/react@1.5.0,2025-02-14,2025,02,2025-W07,금요일,0,17
stackflow,@stackflow/plugin-basic-ui@1.12.0,2025-02-14,2025,02,2025-W07,금요일,0,18
stackflow,@stackflow/react@1.5.1,2025-02-24,2025,02,2025-W09,월요일,10,19
stackflow,@stackflow/plugin-basic-ui@1.13.0,2025-03-14,2025,03,2025-W11,금요일,17,20
stackflow,@stackflow/react-ui-core@1.2.2,2025-03-14,2025,03,2025-W11,금요일,0,21
stackflow,@stackflow/plugin-basic-ui@1.13.1,2025-03-27,2025,03,2025-W13,목요일,12,22
stackflow,@stackflow/react-ui-core@1.2.3,2025-03-27,2025,03,2025-W13,목요일,0,23
stackflow,@stackflow/plugin-basic-ui@1.14.0,2025-04-09,2025,04,2025-W15,수요일,13,24
stackflow,@stackflow/react-ui-core@1.3.0,2025-04-09,2025,04,2025-W15,수요일,0,25
stackflow,@stackflow/react@1.5.2,2025-05-12,2025,05,2025-W20,월요일,32,26
stackflow,@stackflow/plugin-basic-ui@1.14.1,2025-05-15,2025,05,2025-W20,목요일,3,27
stackflow,@stackflow/react-ui-core@1.3.1,2025-05-15,2025,05,2025-W20,목요일,0,28
stackflow,@stackflow/plugin-basic-ui@1.14.2,2025-05-29,2025,05,2025-W22,목요일,13,29
stackflow,@stackflow/react-ui-core@1.3.2,2025-05-29,2025,05,2025-W22,목요일,0,30
seed-design,@seed-design/react-avatar@0.0.4,2025-05-30,2025,05,2025-W22,금요일,1,1
seed-design,@seed-design/react-checkbox@0.0.4,2025-05-30,2025,05,2025-W22,금요일,0,2
seed-design,@seed-design/react@0.0.29,2025-05-30,2025,05,2025-W22,금요일,0,3
seed-design,@seed-design/react-dialog@0.0.5,2025-05-30,2025,05,2025-W22,금요일,0,4
seed-design,@seed-design/react-segmented-control@0.0.5,2025-05-30,2025,05,2025-W22,금요일,0,5
seed-design,@seed-design/react-primitive@0.0.3,2025-05-30,2025,05,2025-W22,금요일,0,6
seed-design,@seed-design/react-popover@0.0.7,2025-05-30,2025,05,2025-W22,금요일,0,7
seed-design,@seed-design/react-snackbar@0.0.5,2025-05-30,2025,05,2025-W22,금요일,0,8
seed-design,@seed-design/mcp@0.0.29,2025-05-30,2025,05,2025-W22,금요일,0,9
seed-design,@seed-design/react-progress@0.0.4,2025-05-30,2025,05,2025-W22,금요일,0,10
seed-design,@seed-design/stackflow@0.0.29,2025-05-30,2025,05,2025-W22,금요일,0,11
